Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2019,"10        ",Female,15,Right-Handed,152,22,128,2,Car,25-30,0.464,51,Soccer,877,888,1000,1000,0,497,22,"Same length",650,650,"Same length",August,Fall,No,No,Meat,Water,"Mathematics and statistics",7,7,4,"Yes - dial-up connection","Internet chat or instant messaging",,,9,5,2,10,2,0,5,10,0,0,0,2,Some,,"Rap/Hip hop","Freeze time",Healthy,Relative,Health
USA,IL,2014,"11        ",Female,15,Right-Handed,157,24,157,1,Walk,5,0.762,53,Dancing,818,433,984,979,75,540,24,"Same length",80,70,"Index finger",November,Fall,No,No,"No favorite",Juice,"Mathematics and statistics",6,9,2,"Yes - broadband connection","Text messaging",125,169,3,27,27,3,5,0,50,158,1,2,0,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,IL,2017,"9         ",Male,14,Left-Handed,169,25,176,2,Car,"10 ",.325,43,Basketball,600,500,1000,700,300,670,25,"Same length",80,70,"Index finger",July,Fall,No,No,"No favorite",Juice,English,5,3,4,"Yes - broadband connection","Text messaging",20,36,5,1,10,0,0,0,20,24,24,13,0,4,"A lot","Some college",Other,Fly,Healthy,Friend,"Wildlife, animals"
USA,IL,2018,"12        ",Male,18,Ambidextrous,182,28,182,1,Car,13,.45,46,"Hockey (Ice)",500,500,600,750,500,500,28,"Same length",97,88,"Index finger",December,Winter,No,No,Meat,"Sports drink","Mathematics and statistics",5,4,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,25,20,1,15,10,35,12,10,2,3,5,15,8,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Friend,"Arts, culture, sports"
USA,IL,2019,"10        ",Male,16,Right-Handed,170,32,178,3,Car,10,0.345,38,Swimming,500,350,200,300,900,900,30,"Right foot",100,110,"Ring finger",October,Fall,Yes,No,"Rice/Noodle dishes",Juice,"Mathematics and statistics",9,4,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,15,32,>1,>1,4-5,20-24,20-24,28,8,10,>1,16,7,None,"Graduate degree",Pop,Invisibility,Happy,"Sports person",Health
USA,IL,2017,"12        ",Female,17,Right-Handed,162.5,24.5,151.5,2,Car,10,0.737,42,Swimming,1000,900,1000,1000,500,1000,24.5,"Same length",75,75,"Same length",April,Fall,No,No,Other,"Soft drink (non-caffeinated)",Art,6,10,5,"Yes - broadband connection","Text messaging",15,15,100,3,10,120,5,0,100,25,20,50,0,15,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,IL,2014,"11        ",Female,16,Right-Handed,,,,1,Bus,5,,,Other,920,604,604,540,390,369,,,,,,May,Spring,Yes,No,"No favorite",Juice,History,6,7,5,"Yes - broadband connection","Text messaging",125,130,4,11,30,5,10,0,4,135,4,4,0,2,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,Relative,"Education/Youth development"
USA,IL,2019,"10        ",Male,15,Right-Handed,26,26,70,2,Car,4,0.43,41,"Football (American)",1000,1000,1000,500,0,0,26,"Same length",8,9,"Index finger",April,Summer,No,No,Meat,"Energy drink",Other,7,4,8,"Yes - broadband connection",,20,15,0,,,,,,,,,,,,,,,,,,
USA,IL,2014,"12        ",Female,17,Right-Handed,160,25,176,1,Car,4,.307,43,Rowing,663,610,695,690,920,984,26,"Left foot",76,73,"Ring finger",January,Summer,Yes,No,Pizza/Pasta,Coffee,Science,6,6,5,"Yes - broadband connection","In person",75,75,10,2,15,10,12,0,10,5,15,3,15,8,"A lot","Graduate degree",Other,Fly,Happy,"Doctor or nurse",Health
USA,IL,2019,"10        ",Male,16,Ambidextrous,171,28,175,2,Bicycle,20,.250,40,Baseball/Softball,9,8,9,9,6,7,28,"Same length",100,100,"Same length",September,Fall,No,No,Seafood,Water,Science,9,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,5,1,2,3,4,5,6,7,8,0,0,0,Some,"Graduate degree","Rock and roll",Invisibility,Rich,"Sports person",Environment
